month,org_level,org_name,parent_org,metric,value,severity
2026-01,team,DTD - Platform,DTD,work_type_pct,52.865709094938836,Investment
2026-01,team,DTD - Platform,DTD,work_type_pct,14.762153936476876,Tech Mod
2026-01,team,DTD - Platform,DTD,work_type_pct,15.069479949817621,CTD
2026-01,team,DTD - Platform,DTD,work_type_pct,17.302657018766666,RTE
2026-01,team,DTD - Platform,DTD,pct_time_ctd_rte,32.372136968584286,
2026-01,team,DTD - Platform,DTD,deployment_frequency,2.1940267655096632,
2026-01,team,DTD - Platform,DTD,lead_time,6.023470482170867,
2026-01,team,DTD - Platform,DTD,cycle_time,4.327920016049062,
2026-01,team,DTD - Platform,DTD,prs_per_engineer,7.785635939006757,
2026-01,team,DTD - Platform,DTD,direct_expense_variance,3.177693371720039,
2026-01,team,DTD - Platform,DTD,aws_expense_variance,8.534426798689474,
2026-01,team,DTD - Platform,DTD,snowflake_expense_variance,0.0,
2026-01,team,DTD - Platform,DTD,span_of_control,8.420708770037603,
2026-01,team,DTD - Platform,DTD,contractor_mix_pct,40.55761010044269,
2026-01,team,DTD - Platform,DTD,engagement_pct,81.2101411357074,
2026-01,team,DTD - Platform,DTD,enablement_pct,86.43655419714298,
2026-01,team,DTD - Platform,DTD,inclusion_pct,86.76191641915743,
2026-01,team,DTD - Platform,DTD,pli_pct,88.51046580901225,
2026-01,team,DTD - Platform,DTD,slo_pct,100.0,
2026-01,team,DTD - Platform,DTD,change_failure_rate,11.093839915870138,
2026-01,team,DTD - Platform,DTD,time_to_restore,3.1898448293886945,
2026-01,team,DTD - Platform,DTD,high_vuln_age,58.56056805664141,
2026-01,team,DTD - Platform,DTD,incidents,0.0,P1
2026-01,team,DTD - Platform,DTD,incidents,2.0,P2
2026-01,team,DTD - Platform,DTD,incidents,2.0,P3
2026-02,team,DTD - Platform,DTD,work_type_pct,54.528070448017765,Investment
2026-02,team,DTD - Platform,DTD,work_type_pct,15.48367296668137,Tech Mod
2026-02,team,DTD - Platform,DTD,work_type_pct,14.080730821930734,CTD
2026-02,team,DTD - Platform,DTD,work_type_pct,15.907525763370135,RTE
2026-02,team,DTD - Platform,DTD,pct_time_ctd_rte,29.988256585300867,
2026-02,team,DTD - Platform,DTD,deployment_frequency,2.461532530167803,
2026-02,team,DTD - Platform,DTD,lead_time,5.399533732624647,
2026-02,team,DTD - Platform,DTD,cycle_time,3.947808391319015,
2026-02,team,DTD - Platform,DTD,prs_per_engineer,7.117088713431172,
2026-02,team,DTD - Platform,DTD,direct_expense_variance,3.6424702480209796,
2026-02,team,DTD - Platform,DTD,aws_expense_variance,6.629522346712862,
2026-02,team,DTD - Platform,DTD,snowflake_expense_variance,0.0,
2026-02,team,DTD - Platform,DTD,span_of_control,8.412249059865106,
2026-02,team,DTD - Platform,DTD,contractor_mix_pct,36.62801023277083,
2026-02,team,DTD - Platform,DTD,engagement_pct,80.88411096530572,
2026-02,team,DTD - Platform,DTD,enablement_pct,85.87453690848847,
2026-02,team,DTD - Platform,DTD,inclusion_pct,92.03877871656093,
2026-02,team,DTD - Platform,DTD,pli_pct,92.24756642717061,
2026-02,team,DTD - Platform,DTD,slo_pct,100.0,
2026-02,team,DTD - Platform,DTD,change_failure_rate,11.046928538449425,
2026-02,team,DTD - Platform,DTD,time_to_restore,3.0240616312895323,
2026-02,team,DTD - Platform,DTD,high_vuln_age,44.881625889638514,
2026-02,team,DTD - Platform,DTD,incidents,0.0,P1
2026-02,team,DTD - Platform,DTD,incidents,1.0,P2
2026-02,team,DTD - Platform,DTD,incidents,1.0,P3
2026-03,team,DTD - Platform,DTD,work_type_pct,58.52254524630827,Investment
2026-03,team,DTD - Platform,DTD,work_type_pct,14.622376419884631,Tech Mod
2026-03,team,DTD - Platform,DTD,work_type_pct,12.744910935450845,CTD
2026-03,team,DTD - Platform,DTD,work_type_pct,14.110167398356255,RTE
2026-03,team,DTD - Platform,DTD,pct_time_ctd_rte,26.8550783338071,
2026-03,team,DTD - Platform,DTD,deployment_frequency,2.067299761009786,
